id,name,lat,lon,off_or_on_street,capacity
380002,Davis St (2-98),undefined,undefined,ON,9
380011,Davis St (101-199),undefined,undefined,ON,8
380012,Davis St (100-198),undefined,undefined,ON,11
380021,Davis St (201-399),undefined,undefined,ON,2
380022,Davis St (200-398),undefined,undefined,ON,5
380031,Davis St (301-399),undefined,undefined,ON,2
384321,Divisadero St (3201-3299),undefined,undefined,ON,5
384322,Divisadero St (3200-3298),undefined,undefined,ON,3
386001,Drumm St (7-99),undefined,undefined,ON,12
386011,Drumm St (101-199),undefined,undefined,ON,5
386012,Drumm St (100-198),undefined,undefined,ON,7
386021,Drumm St (201-299),undefined,undefined,ON,3
386031,Drumm St (301-399),undefined,undefined,ON,6
386032,Drumm St (300-398),undefined,undefined,ON,7
411001,Fell St (1-99),undefined,undefined,ON,12
411002,Fell St (2-98),undefined,undefined,ON,8
411011,Fell St (101-199),undefined,undefined,ON,8
411012,Fell St (100-198),undefined,undefined,ON,13
411021,Fell St (201-299),undefined,undefined,ON,12
411022,Fell St (200-298),undefined,undefined,ON,3
411031,Fell St (301-399),undefined,undefined,ON,16
411032,Fell St (300-398),undefined,undefined,ON,3
413211,Filbert St (2101-2199),undefined,undefined,ON,5
413212,Filbert St (2100-2198),undefined,undefined,ON,2
413221,Filbert St (2201-2299),undefined,undefined,ON,3
413222,Filbert St (2200-2298),undefined,undefined,ON,3
415101,Fillmore St (1001-1099),undefined,undefined,ON,6
415111,Fillmore St (1101-1199),undefined,undefined,ON,4
415112,Fillmore St (1100-1198),undefined,undefined,ON,6
415121,Fillmore St (1201-1299),undefined,undefined,ON,10
415122,Fillmore St (1200-1298),undefined,undefined,ON,5
415131,Fillmore St (1301-1399),undefined,undefined,ON,5
415132,Fillmore St (1300-1398),undefined,undefined,ON,5
415141,Fillmore St (1401-1499),undefined,undefined,ON,5
415142,Fillmore St (1400-1598),undefined,undefined,ON,6
415151,Fillmore St (1501-1599),undefined,undefined,ON,2
415152,Fillmore St (1500-1598),undefined,undefined,ON,8
415161,Fillmore St (1601-1699),undefined,undefined,ON,5
415162,Fillmore St (1600-1698),undefined,undefined,ON,2
415171,Fillmore St (1701-1799),undefined,undefined,ON,6
415172,Fillmore St (1700-1798),undefined,undefined,ON,6
415181,Fillmore St (1801-1899),undefined,undefined,ON,4
415182,Fillmore St (1800-1898),undefined,undefined,ON,10
415191,Fillmore St (1901-1999),undefined,undefined,ON,3
415192,Fillmore St (1900-1998),undefined,undefined,ON,6
415201,Fillmore St (2001-2099),undefined,undefined,ON,3
415202,Fillmore St (2000-2098),undefined,undefined,ON,4
415211,Fillmore St (2101-2199),undefined,undefined,ON,3
415212,Fillmore St (2100-2198),undefined,undefined,ON,4
415221,Fillmore St (2201-2299),undefined,undefined,ON,4
415222,Fillmore St (2200-2298),undefined,undefined,ON,5
415231,Fillmore St (2301-2399),undefined,undefined,ON,4
415232,Fillmore St (2300-2398),undefined,undefined,ON,8
415241,Fillmore St (2401-2499),undefined,undefined,ON,6
415242,Fillmore St (2400-2498),undefined,undefined,ON,7
415311,Fillmore St (3101-3149),undefined,undefined,ON,6
415312,Fillmore St (3100-3148),undefined,undefined,ON,6
415313,Fillmore St (3151-3199),undefined,undefined,ON,6
415314,Fillmore St (3150-3198),undefined,undefined,ON,6
415321,Fillmore St (3201-3229),undefined,undefined,ON,5
415322,Fillmore St (3200-3248),undefined,undefined,ON,5
415332,Fillmore St (3300-3398),undefined,undefined,ON,2
418001,Folsom St (53-99),undefined,undefined,ON,3
418002,Folsom St (40-98),undefined,undefined,ON,7
418051,Folsom St (501-599),undefined,undefined,ON,5
418052,Folsom St (500-598),undefined,undefined,ON,6
418061,Folsom St (601-643),undefined,undefined,ON,2
418062,Folsom St (600-650),undefined,undefined,ON,1
418063,Folsom St (645-699),undefined,undefined,ON,11
419011,Franklin St (101-199),undefined,undefined,ON,6
419021,Franklin St (201-299),undefined,undefined,ON,3
419022,Franklin St (200-298),undefined,undefined,ON,5
419031,Franklin St (301-399),undefined,undefined,ON,8
419032,Franklin St (300-398),undefined,undefined,ON,5
419041,Franklin St (401-499),undefined,undefined,ON,8
419042,Franklin St (400-598),undefined,undefined,ON,7
419051,Franklin St (501-599),undefined,undefined,ON,11
419052,Franklin St (466-598),undefined,undefined,ON,7
420001,Fremont St (1-99),undefined,undefined,ON,11
420002,Fremont St (2-98),undefined,undefined,ON,8
420021,Fremont St (201-299),undefined,undefined,ON,7
422001,Front St (1-99),undefined,undefined,ON,5
422002,Front St (2-98),undefined,undefined,ON,1
422011,Front St (101-199),undefined,undefined,ON,9
422012,Front St (100-198),undefined,undefined,ON,3
422021,Front St (201-299),undefined,undefined,ON,5
422022,Front St (200-298),undefined,undefined,ON,3
422031,Front St (301-399),undefined,undefined,ON,6
422032,Front St (300-398),undefined,undefined,ON,3
440152,Geary Blvd (1500-1698),undefined,undefined,ON,11
440162,Geary Blvd (1500-1698),undefined,undefined,ON,8
